Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2024-03-31 00:00:00.0;19.86736;71;1013.163;6.531361
2024-04-01 00:00:00.0;18.03819;76;1015.016;7.68042
2024-04-02 00:00:00.0;16.56736;78;1011.899;14.05368
2024-04-03 00:00:00.0;17.76667;95;1009.371;3.43476
2024-04-04 00:00:00.0;17.3875;82;1013.427;15.39348
2024-04-05 00:00:00.0;18.60695;78;1016.826;15.27456
2024-04-06 00:00:00.0;18.85694;77;1014.198;11.44308
2024-04-07 00:00:00.0;19.93195;80;1013.339;14.9982
2024-04-08 00:00:00.0;19.27569;89;1011.002;13.62234
2024-04-09 00:00:00.0;20.48611;84;1012.852;11.1576
2024-04-10 00:00:00.0;16.08611;65;1018.867;11.3127
2024-04-11 00:00:00.0;14.97639;69;1022.442;7.111742
2024-04-12 00:00:00.0;16.10069;84;1019.967;5.14212
2024-04-13 00:00:00.0;17.67014;98;1013.585;2.1153
2024-04-14 00:00:00.0;19.98541;100;1008.451;3.10836
2024-04-15 00:00:00.0;22.30416;98;1000.819;3.14898
2024-04-16 00:00:00.0;17.43333;97;1004.788;4.28208
2024-04-17 00:00:00.0;17.59306;68;1012.367;13.23852
2024-04-18 00:00:00.0;15.89375;78;1014.094;12.9063
2024-04-19 00:00:00.0;19.52709;78;1010.361;12.60816
2024-04-20 00:00:00.0;20.2125;82;1011.15;10.94334
2024-04-21 00:00:00.0;20.56111;89;1011.379;4.354739
2024-04-22 00:00:00.0;18.49446;97;1009.511;2.97066
2024-04-23 00:00:00.0;18.70972;81;1011.588;10.89354
2024-04-24 00:00:00.0;12.95416;73;1017.103;12.7617
2024-04-25 00:00:00.0;14.73264;94;1013.14;3.31368
2024-04-26 00:00:00.0;17.7493;100;1006.021;1.2897
2024-04-27 00:00:00.0;13.75833;80;1011.701;5.31198
2024-04-28 00:00:00.0;11.52431;75;1011.938;11.9892
2024-04-29 00:00:00.0;15.21528;86;1006.14;4.1949
2024-04-30 00:00:00.0;18.56667;97;1004.923;1.33002
2024-05-01 00:00:00.0;15.3757;66;1010.703;3.874861
2024-05-02 00:00:00.0;11.97291;76;1013.837;10.64634
2024-05-03 00:00:00.0;9.021529;81;1014.424;9.51552
2024-05-04 00:00:00.0;12.22014;93;1012.082;7.231799
2024-05-05 00:00:00.0;18.66875;98;1009.259;1.84878
2024-05-06 00:00:00.0;18.9986;98;1005.268;2.14584
2024-05-07 00:00:00.0;18.27222;99;1002.193;1.36428
2024-05-08 00:00:00.0;16.63403;78;1009.21;7.888921
2024-05-09 00:00:00.0;9.674998;75;1018.505;10.19364
2024-05-10 00:00:00.0;10.71389;85;1015.159;5.582699
2024-05-11 00:00:00.0;12.73125;84;1016.208;8.09178
2024-05-12 00:00:00.0;10.23403;97;1016.446;2.50092
2024-05-13 00:00:00.0;8.520834;83;1023.365;8.788561
2024-05-14 00:00:00.0;7.11875;87;1024.027;9.096898
2024-05-15 00:00:00.0;7.686807;81;1017.755;8.449622
2024-05-16 00:00:00.0;10.44306;81;1012.116;8.11182
2024-05-17 00:00:00.0;7.80903;94;1017.712;8.02914
2024-05-18 00:00:00.0;7.281943;86;1024.967;7.390261
2024-05-19 00:00:00.0;6.930556;88;1024.239;5.400539
2024-05-20 00:00:00.0;9.102777;80;1017.048;8.2035
2024-05-21 00:00:00.0;12.41181;94;1014.435;2.25756
2024-05-22 00:00:00.0;12.07986;97;1013.917;2.927579
2024-05-23 00:00:00.0;12.31389;84;1017.238;1.95654
2024-05-24 00:00:00.0;9.14653;72;1024.903;6.240001
2024-05-25 00:00:00.0;5.812501;84;1029.153;7.696321
2024-05-26 00:00:00.0;5.926388;82;1028.467;2.584621
2024-05-27 00:00:00.0;9.192363;85;1026.24;2.79342
2024-05-28 00:00:00.0;10.09236;96;1025.467;3.97614
2024-05-29 00:00:00.0;12.49028;90;1022.921;4.318319
2024-05-30 00:00:00.0;14.03889;88;1022.461;6.98256
2024-05-31 00:00:00.0;12.11528;91;1018.546;3.89118
2024-06-01 00:00:00.0;16.44375;86;1011.94;5.36406
2024-06-02 00:00:00.0;10.97639;83;1017.017;0.3679799
2024-06-03 00:00:00.0;6.714586;83;1028.197;7.50516
2024-06-04 00:00:00.0;9.467359;82;1023.72;5.12112
2024-06-05 00:00:00.0;13.26736;96;1016.111;2.58846
2024-06-06 00:00:00.0;15.63055;91;1014.816;6.0225
2024-06-07 00:00:00.0;16.80903;91;1016.261;4.354261
2024-06-08 00:00:00.0;19.65139;90;1010.957;3.89334
2024-06-09 00:00:00.0;21.99027;81;1003.864;5.851318
2024-06-10 00:00:00.0;15.18403;78;1014.613;7.507979
2024-06-11 00:00:00.0;13.70486;94;1013.778;4.4133
2024-06-12 00:00:00.0;17.35417;98;1006.92;2.73366
2024-06-13 00:00:00.0;24.0368;68;997.8049;4.03416
2024-06-14 00:00:00.0;18.99374;84;1005.332;1.87374
2024-06-15 00:00:00.0;13.68612;77;1017.267;7.35138
2024-06-16 00:00:00.0;12.83472;86;1018.307;1.55934
2024-06-17 00:00:00.0;11.45486;90;1011.979;6.98892
2024-06-18 00:00:00.0;15.72639;97;1006.045;1.1463
2024-06-19 00:00:00.0;14.27917;90;1012.282;6.323759
2024-06-20 00:00:00.0;10.8875;87;1016.617;6.429179
2024-06-21 00:00:00.0;15.50625;99;1007.085;0.32688
2024-06-22 00:00:00.0;16.77708;98;1006.217;2.12556
2024-06-23 00:00:00.0;12.41549;80;1013.478;6.088081
2024-06-24 00:00:00.0;7.114186;90;1023.059;3.9222
2024-06-25 00:00:00.0;6.809027;91;1025.646;1.79424
2024-06-26 00:00:00.0;8.463197;85;1016.094;4.789439
2024-06-27 00:00:00.0;11.98264;73;1005.219;5.131801
2024-06-28 00:00:00.0;9.972221;76;1014.73;5.79744
2024-06-29 00:00:00.0;5.139584;78;1022.635;6.2106
2024-06-30 00:00:00.0;5.283333;72;1018.041;5.898659
2024-07-01 00:00:00.0;10.81111;69;1015.88;5.90862
2024-07-02 00:00:00.0;10.30486;79;1012.508;5.97264
2024-07-03 00:00:00.0;8.257639;80;1015.983;5.94258
2024-07-04 00:00:00.0;5.253472;75;1018.774;6.20508
2024-07-05 00:00:00.0;2.965278;70;1025.356;6.592621
2024-07-06 00:00:00.0;2.611111;79;1027.271;4.23792
2024-07-07 00:00:00.0;6.313889;80;1028.948;5.721839
2024-07-08 00:00:00.0;3.008333;79;1029.804;6.566881
2024-07-09 00:00:00.0;1.10625;82;1028.504;6.45858
2024-07-10 00:00:00.0;1.707639;82;1022.47;6.324481
2024-07-11 00:00:00.0;2.777778;83;1026.221;6.13944
2024-07-12 00:00:00.0;4.304862;78;1033.26;6.400019
2024-07-13 00:00:00.0;4.704863;78;1032.169;6.24894
2024-07-14 00:00:00.0;4.368055;80;1030.434;6.515581
2024-07-15 00:00:00.0;7.947918;90;1029.975;3.4008
2024-07-16 00:00:00.0;11.30417;86;1026.432;6.111721
2024-07-17 00:00:00.0;11.86736;86;1022.132;6.470701
2024-07-18 00:00:00.0;12.58264;87;1017.904;6.767401
2024-07-19 00:00:00.0;11.23055;82;1026.878;3.9453
2024-07-20 00:00:00.0;9.144444;92;1024.388;1.22502
2024-07-21 00:00:00.0;12.1875;98;1019.775;2.32902
2024-07-22 00:00:00.0;11.95764;97;1020.907;2.61612
2024-07-23 00:00:00.0;11.68125;100;1017.582;1.6728
2024-07-24 00:00:00.0;15.83056;93;1013.53;1.96608
2024-07-25 00:00:00.0;13.29305;73;1016.225;7.826761
2024-07-26 00:00:00.0;11.8368;76;1018.239;7.89114
2024-07-27 00:00:00.0;10.86736;70;1019.599;8.12154
2024-07-28 00:00:00.0;8.351389;68;1026.424;5.768941
2024-07-29 00:00:00.0;5.560417;70;1031.544;8.444519
2024-07-30 00:00:00.0;6.663888;75;1024.42;8.12382
2024-07-31 00:00:00.0;12.99441;87;1014.651;4.13724
2024-08-01 00:00:00.0;19.64515;79;1006.858;3.363481
2024-08-02 00:00:00.0;26.57708;52;1000.148;6.61032
2024-08-03 00:00:00.0;17.8875;86;1009.256;5.02506
2024-08-04 00:00:00.0;11.55486;71;1019.483;5.90424
2024-08-05 00:00:00.0;12.85972;92;1014.817;2.49702
2024-08-06 00:00:00.0;16.48194;100;1008.52;0.53952
2024-08-07 00:00:00.0;11.22361;86;1011.647;8.398619
2024-08-08 00:00:00.0;7.420832;97;1013.303;2.35236
2024-08-09 00:00:00.0;7.035419;87;1022.645;10.03584
2024-08-10 00:00:00.0;8.131248;70;1016.037;9.591781
2024-08-11 00:00:00.0;12.26181;60;1018.17;9.503941
2024-08-12 00:00:00.0;7.703474;78;1025.319;10.08486
2024-08-13 00:00:00.0;10.33959;64;1019.837;10.25046
2024-08-14 00:00:00.0;12.78195;64;1015.991;9.144842
2024-08-15 00:00:00.0;13.20833;74;1015.307;9.08532
2024-08-16 00:00:00.0;10.12014;88;1019.438;4.75722
2024-08-17 00:00:00.0;11.88472;91;1018.505;5.66172
2024-08-18 00:00:00.0;12.79792;95;1015.807;2.4123
2024-08-19 00:00:00.0;12.33472;92;1020.711;2.0766
2024-08-20 00:00:00.0;8.968749;90;1022.234;2.16228
2024-08-21 00:00:00.0;11.71667;99;1010.015;2.0244
2024-08-22 00:00:00.0;9.24931;95;1014.249;3.1596
2024-08-23 00:00:00.0;7.821529;85;1021.13;10.03128
2024-08-24 00:00:00.0;7.280554;76;1026.826;7.97448
2024-08-25 00:00:00.0;6.809724;86;1030.212;9.05856
2024-08-26 00:00:00.0;6.907638;86;1027.036;12.4809
2024-08-27 00:00:00.0;10.30556;79;1025.971;12.23802
2024-08-28 00:00:00.0;11.67847;79;1023.367;12.08664
2024-08-29 00:00:00.0;13.30486;82;1023.852;11.16558
2024-08-30 00:00:00.0;11.72708;95;1023.74;0.3387
2024-08-31 00:00:00.0;10.80139;100;1015.619;1.18428
2024-09-01 00:00:00.0;11.44514;93;1018.403;5.661299
2024-09-02 00:00:00.0;12.32986;92;1011.012;11.03298
2024-09-03 00:00:00.0;14.47152;68;1014.606;13.81662
2024-09-04 00:00:00.0;13.025;63;1020.971;13.84662
2024-09-05 00:00:00.0;11.15139;64;1020.683;14.7087
2024-09-06 00:00:00.0;14.75555;71;1010.918;12.39066
2024-09-07 00:00:00.0;14.63194;65;1013.817;14.59428
2024-09-08 00:00:00.0;14.83889;63;1018.138;14.27328
2024-09-09 00:00:00.0;15.32361;90;1012.917;6.332339
2024-09-10 00:00:00.0;16.11111;94;1007.965;7.742581
2024-09-11 00:00:00.0;15.02291;81;1014.165;11.03136
2024-09-12 00:00:00.0;12.95625;76;1016.244;13.76358
2024-09-13 00:00:00.0;13.48889;76;1014.554;14.14494
2024-09-14 00:00:00.0;13.31597;63;1022.334;15.98004
2024-09-15 00:00:00.0;12.44792;64;1022.893;15.50514
2024-09-16 00:00:00.0;16.47986;60;1021.659;15.38988
2024-09-17 00:00:00.0;18.12014;63;1017.063;11.17086
2024-09-18 00:00:00.0;20.78681;68;1012.146;14.90592
2024-09-19 00:00:00.0;20.28264;84;1003.281;5.992499
2024-09-20 00:00:00.0;16.20139;66;1013.091;15.94854
2024-09-21 00:00:00.0;18.75555;67;1009.251;14.70126
2024-09-22 00:00:00.0;19.56667;88;1004.562;3.90486
2024-09-23 00:00:00.0;16.03403;64;1012.768;14.37756
2024-09-24 00:00:00.0;16.96389;57;1013.352;17.00898
2024-09-25 00:00:00.0;17.09583;83;1014.543;12.7989
2024-09-26 00:00:00.0;15.22639;66;1022.242;18.01206
2024-09-27 00:00:00.0;13.69028;80;1018.516;17.87832
2024-09-28 00:00:00.0;17.98611;75;1013.958;17.24346
2024-09-29 00:00:00.0;20.53403;75;1009.768;17.58114
2024-09-30 00:00:00.0;22.95347;79;1000.72;9.135057
2024-10-01 00:00:00.0;17.96945;69;1010.154;17.5686
2024-10-02 00:00:00.0;14.22431;60;1017.881;19.2969
2024-10-03 00:00:00.0;12.91597;63;1023.213;16.55526
2024-10-04 00:00:00.0;16.8;57;1020.055;19.10676
2024-10-05 00:00:00.0;19.21319;56;1017.72;19.36608
2024-10-06 00:00:00.0;18.68959;78;1017.538;16.54434
2024-10-07 00:00:00.0;18.84305;83;1013.117;7.520519
2024-10-08 00:00:00.0;17.19097;85;1018.25;14.8806
2024-10-09 00:00:00.0;16.45417;74;1022.293;17.56608
2024-10-10 00:00:00.0;18.37846;78;1013.674;16.75314
2024-10-11 00:00:00.0;19.96736;66;1008.153;19.38492
2024-10-12 00:00:00.0;18.20903;82;1016.357;13.82442
2024-10-13 00:00:00.0;16.87222;93;1021.828;4.078681
2024-10-14 00:00:00.0;17.61389;93;1019.586;6.266641
2024-10-15 00:00:00.0;20.325;80;1015.727;17.85696
2024-10-16 00:00:00.0;19.04792;78;1014.523;20.2488
2024-10-17 00:00:00.0;19.84792;81;1014.75;11.49054
2024-10-18 00:00:00.0;20.41736;70;1016.363;20.45508
2024-10-19 00:00:00.0;21.90278;70;1012.797;20.9736
2024-10-20 00:00:00.0;24.12361;65;1008.263;21.01201
2024-10-21 00:00:00.0;27.11736;70;1010.738;16.84938
2024-10-22 00:00:00.0;24.25972;65;1014.634;18.33354
2024-10-23 00:00:00.0;20.8;91;1005.839;2.9784
2024-10-24 00:00:00.0;17.79236;99;999.4025;1.3977
2024-10-25 00:00:00.0;14.82847;88;1006.768;12.76794
2024-10-26 00:00:00.0;15.00417;69;1015.816;22.15974
2024-10-27 00:00:00.0;18.98958;69;1017.368;21.83832
2024-10-28 00:00:00.0;21.41459;68;1015.308;22.40202
2024-10-29 00:00:00.0;23.51667;65;1015.387;22.43027
2024-10-30 00:00:00.0;24.60555;62;1014.166;22.79796
2024-10-31 00:00:00.0;24.34584;74;1010.335;22.64472
2024-11-01 00:00:00.0;25.15416;75;1005.055;19.33542
2024-11-02 00:00:00.0;22.4257;84;1010.382;7.081859
2024-11-03 00:00:00.0;19.46042;79;1014.669;23.12874
2024-11-04 00:00:00.0;19.47639;96;1011.462;1.8918
2024-11-05 00:00:00.0;18.45833;62;1018.26;24.29736
2024-11-06 00:00:00.0;21.31944;57;1014.067;23.84093
2024-11-07 00:00:00.0;20.27014;72;1016.669;18.31674
2024-11-08 00:00:00.0;19.32986;69;1015.902;22.83858
2024-11-09 00:00:00.0;22.125;66;1012.435;24.27792
2024-11-10 00:00:00.0;22.80764;70;1008.859;20.13042
2024-11-11 00:00:00.0;17.43889;66;1011.574;19.8723
2024-11-12 00:00:00.0;17.0007;64;1012.103;23.05788
2024-11-13 00:00:00.0;19.64513;59;1011.368;24.6714
2024-11-14 00:00:00.0;22.6493;57;1011.986;24.67608
2024-11-15 00:00:00.0;25.16598;55;1008.783;24.66096
2024-11-16 00:00:00.0;27.49723;58;1008.331;22.2348
2024-11-17 00:00:00.0;18.3007;93;1013.718;2.517001
2024-11-18 00:00:00.0;18.01389;74;1017.934;24.76404
2024-11-19 00:00:00.0;18.56875;70;1017.196;17.47272
2024-11-20 00:00:00.0;22.11597;64;1017.556;25.68576
2024-11-21 00:00:00.0;22.25694;64;1018.951;22.8594
2024-11-22 00:00:00.0;22.65347;69;1017.647;24.02076
2024-11-23 00:00:00.0;23.45972;69;1014.675;23.7945
